area,keys,filename,width,layouts,translations
area_left;area_left_1;area_left_2;area_left_3;area_left_4,s,l_ming,0,,名;名;míng
area_left;area_left_1;area_left_2;area_left_3;area_left_4,d,l_zhong,0,,中;中;zhōng
area_left;area_left_1;area_left_2;area_left_3;area_left_4,f,l_shi,0,,食;食;shí
area_left;area_left_1;area_left_2;area_left_3;area_left_4,v,l_da,0,,大;大;dà
area_left;area_left_1;area_left_2;area_left_3;area_left_4,x,l_gui,0,,跪;跪;guì
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,0,h_open,0,,散;散;sàn
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,1,h_yi,0,,一;一;yī
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,2,h_er,0,,二;二;èr
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,3,h_san,0,,三;三;sān
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,4,h_si,0,,四;四;sì
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,5,h_wu,0,,五;五;wǔ
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,6,h_liu,0,,六;六;liù
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,7,h_qi,0,,七;七;qī
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,8,h_ba,0,,八;八;bā
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,9,h_jiu,0,,九;九;jiǔ
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,10,h_shi,0,,十;十;shí
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,11,h_shiyi,0,,十一;十一;shí yī
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,12,h_shier,0,,十二;十二;shí èr
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,13,h_shisan,0,,十三;十三;shí sān
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,外,h_wai,0,,外;wai;13+
area_hui;area_hui_1;area_hui_2;area_hui_3;area_hui_4,就,h_jiu4,0,,jiu
area_right,n,r_pi,0,layout_bo;layout_bo_chuo;layout_bo_rt,劈;劈;pī
area_right,h,r_tuo,0,layout_tuo;layout_tuo_chuo;layout_tuo_rt,托;托;tuō
area_right,j,r_mo,0,layout_mo;layout_mo_chuo;layout_mo_rt,抹;抹;mǒ
area_right,u,r_tiao,0,layout_tiao;layout_tiao_chuo;layout_tiao_rt,挑;挑;tiǎo
area_right,k,r_gou,0,layout_gou;layout_gou_chuo;layout_gou_rt,勾;勾;gōu
area_right,i,r_ti,0,layout_ti;layout_ti_chuo;layout_ti_rt,剔;剔;tì
